Index,TrainVideoCount,KnowledgeGraphId,Name,WikiUrl,Vertical1,Vertical2,Vertical3,WikiDescription
23,64884,/m/0169zh,Smartphone,https://en.wikipedia.org/wiki/Smartphone,Internet & Telecom,,,"A smartphone is a mobile phone with an advanced mobile operating system that combines features of a personal computer operating system with other features useful for mobile or handheld use. Smartphones, which are usually pocket-sized, typically combine the features of a mobile phone, such as the abilities to place and receive voice calls and create and receive text messages, with those of other popular digital mobile devices like personal digital assistants, such as an event calendar, media player, video games, GPS navigation, digital camera and digital video camera. Smartphones can access the Internet and can run a variety of third-party software components. They typically have a color display with a graphical user interface that covers more than 76% of the front surface. The display is almost always a touchscreen and sometimes additionally a touch-enabled keyboard like the Priv/Passport BlackBerrys, which enables the user to use a virtual keyboard to type words and numbers and press onscreen icons to activate ""app"" features. In 1999, the Japanese firm NTT DoCoMo released the first smartphones to achieve mass adoption within a country."
28,55597,/m/02hnl,Drum kit,https://en.wikipedia.org/wiki/Drum_kit,Arts & Entertainment,,,"A drum kit—also called a drum set, trap set, or simply drums—is a collection of drums and other percussion instruments, typically cymbals, which are set up on stands to be played by a single player with drumsticks held in both hands and the feet operating pedals that control the hi-hat cymbal and the beater for the bass drum. A drum kit consists of a mix of drums and idiophones most significantly cymbals but also including the woodblock and cowbell. In the 2000s, some kits also include electronic instruments and both hybrid and entirely electronic kits are used. A standard modern kit, as used in popular music and taught in music schools, contains: A snare drum, mounted on a stand, placed between the player's knees and played with drum sticks A bass drum, played by a pedal operated by the right foot, which moves a felt-covered beater One or more toms, played with sticks or brushes A hi-hat, played with the sticks, opened and closed with left foot pedal"
31,55201,/m/05r5c,Piano,https://en.wikipedia.org/wiki/Piano,Arts & Entertainment,,,"The piano is an acoustic, stringed musical instrument, in which the strings are struck by hammers. It is played using a keyboard, which is a row of keys that the performer presses down or strikes with the fingers and thumbs of both hands to cause the hammers to strike the strings. Invented in about 1700, the piano is widely employed in classical, jazz, traditional and popular music for solo and ensemble performances, accompaniment, and for composing, songwriting and rehearsals. Although the piano is very heavy and thus not portable and is expensive, its musical versatility, the large number of musicians and amateurs trained in playing it, and its wide availability in performance venues, schools and rehearsal spaces have made it one of the Western world's most familiar musical instruments. An acoustic piano usually has a protective wooden case surrounding the soundboard and metal strings, which are strung under great tension on a heavy metal frame. Most modern pianos have a row of 88 black and white keys, 52 white keys for the notes of the C major scale and 36 shorter black keys, which are raised above the white keys, and set further back on the keyboard."
30,54950,/m/04_sv,Motorcycle,https://en.wikipedia.org/wiki/Motorcycle,Autos & Vehicles,,,"A motorcycle is a two- or three-wheeled motor vehicle. Motorcycle design varies greatly to suit a range of different purposes: long distance travel, commuting, cruising, sport including racing, and off-road riding. Motorcycling is riding a motorcycle and related social activity such as joining a motorcycle club and attending motorcycle rallies. In 1894, Hildebrand & Wolfmüller became the first series production motorcycle, and the first to be called a motorcycle. In 2014, the three top motorcycle producers globally by volume were Honda, Yamaha, and Hero MotoCorp. Motorcycles are usually a luxury good in the developed world, where they are used mostly for recreation, as a lifestyle accessory or a symbol of personal identity. In developing countries, motorcycles are overwhelmingly utilitarian due to lower prices and greater fuel economy. Of all the motorcycles in the world, 58% are in the Asia-Pacific and Southern and Eastern Asia regions, excluding car-centric Japan. According to the United States Department of Transportation the number of fatalities per vehicle mile traveled was 37 times higher for motorcycles than for cars."
32,54730,/m/02q08p0,Dish (food),https://en.wikipedia.org/wiki/Dish_(food),Food & Drink,,,"A dish in gastronomy is a specific food preparation, a ""distinct article or variety of food,"" with cooking finished, and ready to eat, or be served. A dish may be served on tableware, or may be eaten out of hand; but breads are generally not called dishes. Instructions for preparing a dish are called recipes. Some dishes, for example vanilla ice cream with fudge sauce, rarely have their own recipes, as they are made by simply combining two ready to eat preparations of foods."
33,54195,/m/026t6,Drum,https://en.wikipedia.org/wiki/Drum,Arts & Entertainment,,,"The drum is a member of the percussion group of musical instruments. In the Hornbostel-Sachs classification system, it is a membranophone. Drums consist of at least one membrane, called a drumhead or drum skin, that is stretched over a shell and struck, either directly with the player's hands, or with a drum stick, to produce sound. There is usually a resonance head on the underside of the drum, typically tuned to a slightly lower pitch than the top drumhead. Other techniques have been used to cause drums to make sound, such as the thumb roll. Drums are the world's oldest and most ubiquitous musical instruments, and the basic design has remained virtually unchanged for thousands of years. Drums may be played individually, with the player using a single drum, and some drums such as the djembe are almost always played in this way. Others are normally played in a set of two or more, all played by the one player, such as bongo drums and timpani. A number of different drums together with cymbals form the basic modern drum kit."
34,51712,/m/042v_gx,Acoustic guitar,https://en.wikipedia.org/wiki/Acoustic_guitar,Arts & Entertainment,,,"An acoustic guitar is a guitar that produces sound acoustically—by transmitting the vibration of the strings to the air—as opposed to relying on electronic amplification. The sound waves from the strings of an acoustic guitar resonate through the guitar's body, creating sound. This typically involves the use of a sound board and a sound box to strengthen the vibrations of the strings. The main source of sound in an acoustic guitar is the string, which is plucked or strummed with the finger or with a pick. The string vibrates at a necessary frequency and also create many harmonics at various different frequencies. The frequencies produced can depend on string length, mass, and tension. The string causes the soundboard and sound box to vibrate, and as these have their own resonances at certain frequencies, they amplify some string harmonics more strongly than others, hence affecting the timbre produced by the instrument."
41,38652,/m/0l14jd,Choir,https://en.wikipedia.org/wiki/Choir,Arts & Entertainment,,,"A choir is a musical ensemble of singers. Choral music, in turn, is the music written specifically for such an ensemble to perform. Choirs may perform music from the classical music repertoire, which spans from the Medieval era to the present, and/or popular music repertoire. Most choirs are led by a conductor, who leads the performances with arm and face gestures. A body of singers who perform together as a group is called a choir or chorus. The former term is very often applied to groups affiliated with a church and the second to groups that perform in theatres or concert halls, but this distinction is far from rigid. Choirs may sing without instrumental accompaniment, with the accompaniment of a piano or pipe organ, with a small ensemble, or with a full orchestra of 70 to 100 musicians. The term ""Choir"" has the secondary definition of a subset of an ensemble; thus one speaks of the ""woodwind choir"" of an orchestra, or different ""choirs"" of voices and/or instruments in a polychoral composition."
43,36051,/m/094jc,Fishing,https://en.wikipedia.org/wiki/Fishing,Hobbies & Leisure,,,"Fishing is the activity of trying to catch fish. Fish are normally caught in the wild. Techniques for catching fish include hand gathering, spearing, netting, angling and trapping. Fishing may include catching aquatic animals other than fish, such as molluscs, cephalopods, crustaceans, and echinoderms. The term is not normally applied to catching farmed fish, or to aquatic mammals, such as whales where the term whaling is more appropriate. According to United Nations FAO statistics, the total number of commercial fishermen and fish farmers is estimated to be 38 million. Fisheries and aquaculture provide direct and indirect employment to over 500 million people in developing countries. In 2005, the worldwide per capita consumption of fish captured from wild fisheries was 14.4 kilograms, with an additional 7.4 kilograms harvested from fish farms. In addition to providing food, modern fishing is also a recreational pastime."
45,35331,/m/07jdr,Train,https://en.wikipedia.org/wiki/Train,Business & Industrial,Travel,,"A train is a form of rail transport consisting of a series of vehicles that usually runs along a rail track to transport cargo or passengers. Motive power is provided by a separate locomotive or individual motors in self-propelled multiple units. Although historically steam propulsion dominated, the most common modern forms are diesel and electric locomotives, the latter supplied by overhead wires or additional rails. Other energy sources include horses, engine or water-driven rope or wire winch, gravity, pneumatics, batteries, and gas turbines. Train tracks usually consist of two running rails, sometimes supplemented by additional rails such as electric conducting rails and rack rails, with a limited number of monorails and maglev guideways in the mix. The word 'train' comes from the Old French trahiner, from the Latin trahere 'pull, draw'. There are various types of trains that are designed for particular purposes. A train may consist of a combination of one or more locomotives and attached railroad cars, or a self-propelled multiple unit. The first trains were rope-hauled, gravity powered or pulled by horses."
46,35170,/m/05czz6l,Airplane,https://en.wikipedia.org/wiki/Airplane,Autos & Vehicles,Law & Government,,"An airplane or aeroplane is a powered, fixed-wing aircraft that is propelled forward by thrust from a jet engine or propeller. Airplanes come in a variety of sizes, shapes, and wing configurations. The broad spectrum of uses for airplanes includes recreation, transportation of goods and people, military, and research. Commercial aviation is a massive industry involving the flying of tens of thousands of passengers daily on airliners. Most airplanes are flown by a pilot on board the aircraft, but some are designed to be remotely or computer-controlled. The Wright brothers invented and flew the first airplane in 1903, recognized as ""the first sustained and controlled heavier-than-air powered flight"". They built on the works of George Cayley dating from 1799, when he set forth the concept of the modern airplane. Between 1867 and 1896, the German pioneer of human aviation Otto Lilienthal also studied heavier-than-air flight. Following its limited use in World War I, aircraft technology continued to develop. Airplanes had a presence in all the major battles of World War II. The first jet aircraft was the German Heinkel He 178 in 1939."
48,34448,/m/012mq4,Sports car,https://en.wikipedia.org/wiki/Sports_car,Autos & Vehicles,,,"A sports car is a small, usually two seater, two door automobile designed for spirited performance and nimble handling. According to the Merriam-Webster dictionary, the first known use of the term was in 1928. Sports cars may be spartan or luxurious, but high maneuverability and minimum weight are requisite. They may be equipped for racing, ""especially an aerodynamically shaped one-passenger or two-passenger vehicle having a low center of gravity and steering and suspension designed for precise control at high speeds."""
53,31060,/m/01sgl,Cycling,https://en.wikipedia.org/wiki/Cycling,Sports,,,"Cycling, also called bicycling or biking, is the use of bicycles for transport, recreation, exercise or sport. Persons engaged in cycling are referred to as ""cyclists"", ""bikers"", or less commonly, as ""bicyclists"". Apart from two-wheeled bicycles, ""cycling"" also includes the riding of unicycles, tricycles, quadracycles, recumbent and similar human-powered vehicles. Bicycles were introduced in the 19th century and now number approximately one billion worldwide. They are the principal means of transportation in many parts of the world. Cycling is widely regarded as a very effective and efficient mode of transportation optimal for short to moderate distances. Bicycles provide numerous benefits in comparison with motor vehicles, including the sustained physical exercise involved in cycling, easier parking, increased maneuverability, and access to roads, bike paths and rural trails. Cycling also offers a reduced consumption of fossil fuels, less air or noise pollution, and much reduced traffic congestion. These lead to less financial cost to the user as well as to society at large."
54,31046,/m/05pd6,Orchestra,https://en.wikipedia.org/wiki/Orchestra,Arts & Entertainment,,,"An orchestra is a large instrumental ensemble typical of classical music, which features string instruments such as violin, viola, cello and double bass, as well as brass, woodwinds, and percussion instruments, grouped in sections. Other instruments such as the piano and celesta may sometimes appear in a fifth keyboard section or may stand alone, as may the concert harp and, for performances of some modern compositions, electronic instruments. The term orchestra derives from the Greek ὀρχήστρα, the name for the area in front of a stage in ancient Greek theatre reserved for the Greek chorus. A full-size orchestra may sometimes be called a symphony orchestra or philharmonic orchestra. The actual number of musicians employed in a given performance may vary from seventy to over one hundred musicians, depending on the work being played and the size of the venue. The term chamber orchestra usually refers to smaller-sized ensembles of about fifty musicians or fewer."
52,31017,/m/018w8,Basketball,https://en.wikipedia.org/wiki/Basketball,Sports,,,"Basketball is a sport that is played by two teams of five players on a rectangular court. The objective is to shoot a ball through a hoop 18 inches in diameter and mounted at a height of 10 feet to backboards at each end of the court. The game was invented in 1891 by Dr. James Naismith, who would be the first basketball coach of the Kansas Jayhawks, one of the most successful programs in the game's history. A team can score a field goal by shooting the ball through the basket being defended by the opposition team during regular play. A field goal scores three points for the shooting team if the player shoots from behind the three-point line, and two points if shot from in front of the line. A team can also score via free throws, which are worth one point, after the other team is assessed with certain fouls. The team with the most points at the end of the game wins, but additional time is issued when the score is tied at the end of regulation. The ball can be advanced on the court by throwing it to a teammate, or by bouncing it while walking or running."
55,30111,/m/025sn53,Motorcycling,https://en.wikipedia.org/wiki/Motorcycling,Autos & Vehicles,,,"Motorcycling is riding a motorcycle. For some people, motorcycling may be the only affordable form of individual motorized transportation, and small displacement motorcycles are the most common motor vehicle in the most populous countries, including India, China and Indonesia. In developing countries, motorcycles are overwhelmingly utilitarian due to lower prices and greater fuel economy. Of all motorcycles, 58% are in the Asia Pacific and Southern and Eastern Asia regions, excluding car-centric Japan. Motorcycles are mainly a luxury good in developed nations, where they are used mostly for recreation, as a lifestyle accessory or a symbol of personal identity. Beyond being a mode of motor transportation or sport, motorcycling has become a subculture and lifestyle. Although mainly a solo activity, motorcycling can be social and motorcyclists tend to have a sense of community with each other."
58,29728,/m/0199g,Bicycle,https://en.wikipedia.org/wiki/Bicycle,Autos & Vehicles,,,"A bicycle, often called a bike or cycle, is a human-powered, pedal-driven, single-track vehicle, having two wheels attached to a frame, one behind the other. A bicycle rider is called a cyclist, or bicyclist. Bicycles were introduced in the 19th century in Europe and as of 2003, more than 1 billion have been produced worldwide, twice as many as the number of automobiles that have been produced. They are the principal means of transportation in many regions. They also provide a popular form of recreation, and have been adapted for use as children's toys, general fitness, military and police applications, courier services, and bicycle racing. The basic shape and configuration of a typical upright or ""safety bicycle"", has changed little since the first chain-driven model was developed around 1885. But many details have been improved, especially since the advent of modern materials and computer-aided design. These have allowed for a proliferation of specialized designs for many types of cycling. The bicycle's invention has had an enormous effect on society, both in terms of culture and of advancing modern industrial methods."
59,29371,/m/0ch_cf,Fish,https://en.wikipedia.org/wiki/Fish,Business & Industrial,Pets & Animals,Science,"A fish is any member of a group of organisms that consist of all gill-bearing aquatic craniate animals that lack limbs with digits. They form a sister group to the tunicates, together forming the olfactores. Included in this definition are the living hagfish, lampreys, and cartilaginous and bony fish as well as various extinct related groups. Tetrapods emerged within lobe-finned fishes, so cladistically they are fish as well. However, traditionally fish are rendered obsolete or paraphyletic by excluding the tetrapods. Because in this manner the term ""fish"" is defined negatively as a paraphyletic group, it is not considered a formal taxonomic grouping in systematic biology. The traditional term pisces is considered a typological, but not a phylogenetic classification. The earliest organisms that can be classified as fish were soft-bodied chordates that first appeared during the Cambrian period. Although they lacked a true spine, they possessed notochords which allowed them to be more agile than their invertebrate counterparts. Fish would continue to evolve through the Paleozoic era, diversifying into a wide variety of forms."
60,28879,/m/05b0n7k,Outdoor recreation,https://en.wikipedia.org/wiki/Outdoor_recreation,Hobbies & Leisure,,,"Outdoor recreation or outdoor activity refers to leisure pursuits engaged in the outdoors, often in natural or semi-natural settings out of town. Examples include adventure racing, backpacking, cycling, camping, canoeing, canyoning, caving, disc golf, fishing, hiking, horseback riding, hunting, kayaking, mountaineering, photography, adventure park, waterskiing, jetskiing, rock climbing, running, sailing, skiing, surfing, ATV riding, and sports. Outdoor recreation may also refer to a team sport game or practice held in an outdoor setting. When the recreation involves excitement, physical challenge, or risk, such as in rafting or climbing, it is sometimes referred to as adventure recreation. The two primary purposes for outdoor recreation are beneficial use and pleasurable appreciation."
61,28529,/m/02dsz,Disc jockey,https://en.wikipedia.org/wiki/Disc_jockey,Arts & Entertainment,,,"A disc jockey is a person who mixes recorded music as it is playing. Originally, the ""disc"" in ""disc jockey"" referred to gramophone records, but now ""DJ"" is used as an all-encompassing term to describe someone who mixes recorded music from any sources, including cassettes, CDs, or digital audio files on a CDJ or laptop. DJs typically perform for a live or broadcast audience, but DJs also create mixes that are recorded for later sale and distribution. DJs use equipment that can play at least two sources of recorded music simultaneously and mix them together. This allows the DJ to create seamless transitions between recordings and develop unique mixes of songs. Often, this involves aligning the beats of the music sources so their rhythms do not clash when they are played together. DJ equipment also allows the DJ to preview a source of recorded music in headphones before playing it for the audience. Previewing the music in headphones helps the DJ pick the next track they want to play and cue up the track to the desired starting location so it will mix well with the currently playing music."
65,26534,/m/0ds4x,Hairstyle,https://en.wikipedia.org/wiki/Hairstyle,Beauty & Fitness,,,"A hairstyle, hairdo, or haircut refers to the styling of hair, usually on the human scalp. Sometimes, this could also mean an editing of beard hair. The fashioning of hair can be considered an aspect of personal grooming, fashion, and cosmetics, although practical, cultural, and popular considerations also influence some hairstyles. The oldest known depiction of hair braiding dates back about 30,000 years. In ancient civilizations, women's hair was often elaborately and carefully dressed in special ways. In Imperial Rome, women wore their hair in complicated styles. From the time of the Roman Empire until the Middle Ages, most women grew their hair as long as it would naturally grow. During the Roman Empire as well as in the 16th century in the western world, women began to wear their hair in extremely ornate styles. In the later half of the 15th century and on into the 16th century a very high hairline on the forehead was considered attractive. During the 15th and 16th centuries, European men wore their hair cropped no longer than shoulder-length. In the early 17th century male hairstyles grew longer, with waves or curls being considered desirable."
68,24982,/m/06zfw,Skateboarding,https://en.wikipedia.org/wiki/Skateboarding,Sports,,,"Skateboarding is an action sport which involves riding and performing tricks using a skateboard. Skateboarding can also be considered a recreational activity, an art form, a job, or a method of transportation. Skateboarding has been shaped and influenced by many skateboarders throughout the years. A 2009 report found that the skateboarding market is worth an estimated $4.8 billion in annual revenue with 11.08 million active skateboarders in the world. In 2016, it was announced that skateboarding will be represented at the 2020 Olympic Games in Tokyo, Japan. Since the 1970s, skateparks have been constructed specifically for use by skateboarders, Freestyle BMXers, aggressive skaters, and very recently, scooters."
73,24033,/m/027lnzs,IPhone,https://en.wikipedia.org/wiki/IPhone,Computers & Electronics,Internet & Telecom,,"iPhone is a line of smartphones designed and marketed by Apple Inc. They run Apple's iOS mobile operating system. The first generation iPhone was released on June 29, 2007; the most recent iPhone model is the iPhone 7, which was unveiled at a special event on September 7, 2016. The user interface is built around the device's multi-touch screen, including a virtual keyboard. The iPhone has Wi-Fi and can connect to cellular networks. An iPhone can shoot video, take photos, play music, send and receive email, browse the web, send and receive text messages, follow GPS navigation, record notes, perform mathematical calculations, and receive visual voicemail. Other functions can be enabled by downloading mobile apps. As of June 2016, Apple's App Store contained more than 2 million applications available for the iPhone. Apple has released ten generations of iPhone models, each accompanied by one of the ten major releases of the iOS operating system. The original 1st-generation iPhone was a GSM phone and established design precedents, such as a button placement that has persisted throughout all releases and a screen size maintained for the next four iterations."
71,23974,/m/081hv,Wedding,https://en.wikipedia.org/wiki/Wedding,Hobbies & Leisure,,,"A wedding is a ceremony where two people are united in marriage. Wedding traditions and customs vary greatly between cultures, ethnic groups, religions, countries, and social classes. Most wedding ceremonies involve an exchange of marriage vows by the couple, presentation of a gift, and a public proclamation of marriage by an authority figure. Special wedding garments are often worn, and the ceremony is sometimes followed by a wedding reception. Music, poetry, prayers or readings from religious texts or literature are also commonly incorporated into the ceremony."
74,23842,/m/0643t,Personal computer,https://en.wikipedia.org/wiki/Personal_computer,Computers & Electronics,,,"A personal computer is a multi-purpose electronic computer whose size, capabilities, and price make it feasible for individual use. PCs are intended to be operated directly by a person using a graphical user interface such as Windows. The versatility of a personal computer is greatly enhanced by the use of peripheral devices such as a keyboard, monitor, printer, mouse, speakers, and an external hard drive. ""Computers were invented to 'compute': to solve complex mathematical problems,"" but today, due to media dependency and the everyday use of computers, it is seen that ""'computing' is the least important thing computers do."" The computer time-sharing models that were typically used with larger, more expensive minicomputer and mainframe systems, to enable them be used by many people at the same time, are not used with PCs. A range of software applications are available for personal computers including, but are not limited to, word processing, spreadsheets, databases, web browsers, email, digital media playback, video games, and many personal productivity and special-purpose software applications."
75,23553,/m/07r04,Truck,https://en.wikipedia.org/wiki/Truck,Autos & Vehicles,,,"A truck is a motor vehicle designed to transport cargo. Trucks vary greatly in size, power, and configuration; smaller varieties may be mechanically similar to some automobiles. Commercial trucks can be very large and powerful, and may be configured to mount specialized equipment, such as in the case of fire trucks and concrete mixers and suction excavators. Modern trucks are largely powered by diesel engines, although small to medium size trucks with gasoline engines exist in the US. In the European Union, vehicles with a gross combination mass of up to 7,700 lb are known as light commercial vehicles, and those over as large goods vehicles."
76,23265,/m/019jd,Boat,https://en.wikipedia.org/wiki/Boat,Autos & Vehicles,,,"A boat is a watercraft of a large range of sizes designed to float, plane, work or travel on water. Small boats are typically found on inland waterways or in protected coastal areas. However, boats such as the whaleboat were designed for operation from a ship in an offshore environment. In naval terms, a boat is a vessel small enough to be carried aboard another vessel. Another less restrictive definition is a vessel that can be lifted out of the water. Some definitions do not make a distinction in size, as bulk freighters 1,000 feet long on the Great Lakes are called oreboats. For reasons of naval tradition, submarines are usually referred to as 'boats' rather than 'ships', regardless of their size and shape. Ships are generally distinguished from boats based on their larger size, shape and cargo or passenger capacity. Boats have a wide variety of shapes, sizes and construction methods due to their intended purpose, available materials or local traditions. Canoe-type boats have been used since prehistoric times and various versions are used throughout the world for transportation, fishing or sport. Fishing boats vary widely in style partly to match local conditions."
77,22237,/m/01g50p,Railroad car,https://en.wikipedia.org/wiki/Railroad_car,Business & Industrial,Travel,,"A railroad car or railcar, railway wagon or railway carriage, also called a train car or train wagon, is a vehicle used for the carrying of cargo or passengers on a rail transport system. Such cars, when coupled together and hauled by one or more locomotives, form a train. Alternatively, some passenger cars are self-propelled in which case they may be either single railcars or make up multiple units. The term ""car"" is commonly used by itself in American English when a rail context is implicit. Indian English sometimes uses ""bogie"" in the same manner, though the term has other meanings in other variants of English. Although some cars exist for the railroad's own use – for track maintenance purposes, for example – most carry a revenue-earning load of passengers or freight, and may be classified accordingly as passenger cars or coaches on the one hand or freight cars on the other."
